source,report,pub_date,geography,scope,scenario,metric,horizon,value_usd_billion,assumptions,retrieved
McKinsey,The Cost of Compute,2025-04,Global,Data-center capex (AI + non-AI),Continued momentum (base),cumulative,2025-2030,6700,156 GW added; AI $5.2T + non-AI $1.5T,2026-05-15
McKinsey,The Cost of Compute,2025-04,Global,AI data-center capex,Continued momentum (base),cumulative,2025-2030,5200,AI portion of the base case,2026-05-15
McKinsey,The Cost of Compute,2025-04,Global,Data-center capex (AI + non-AI),Accelerated,cumulative,2025-2030,7900,205 GW added,2026-05-15
McKinsey,The Cost of Compute,2025-04,Global,Data-center capex (AI + non-AI),Constrained,cumulative,2025-2030,3700,78 GW added,2026-05-15
Goldman Sachs,Tracking Trillions,2026,Global,AI capex (chips + data centers + power),Baseline,annual,2026,765,Baseline estimate; highly assumption-sensitive,2026-05-15
Goldman Sachs,Tracking Trillions,2026,Global,AI capex (chips + data centers + power),Baseline,annual,2031,1600,Baseline estimate,2026-05-15
Goldman Sachs,Tracking Trillions,2026,Global,AI capex (chips + data centers + power),Baseline,cumulative,2026-2031,7600,~$15M per MW data-center cost; chip-obsolescence-sensitive,2026-05-15
Morgan Stanley,AI Market Trends,2026,United States,Hyperscaler capex,Single estimate,annual,2026,800,US hyperscalers $800B+ in 2026,2026-05-15
Morgan Stanley,AI Market Trends,2026,Global,AI infrastructure,Single estimate,annual,2029,3000,$3T global AI infrastructure by 2029,2026-05-15
Bain & Company,6th Global Technology Report,2025,Global,AI capex,Single estimate,annual,2030,500,$2T new annual revenue needed to fund it; ~$800B funding gap,2026-05-15
